[2019-03-07 17:55:57][DEBUG][players] Start computing players time spent on pitch..
[2019-03-07 17:56:03][DEBUG][players] .. 1/190 - Sucessfully loaded file f24-24-2016-853307-eventdetails.xml
[2019-03-07 17:56:09][DEBUG][players] .. 2/190 - Sucessfully loaded file f24-24-2016-853200-eventdetails.xml
[2019-03-07 17:56:17][DEBUG][players] .. 3/190 - Sucessfully loaded file f24-24-2016-853187-eventdetails.xml
[2019-03-07 17:56:25][DEBUG][players] .. 4/190 - Sucessfully loaded file f24-24-2016-853161-eventdetails.xml
[2019-03-07 17:56:32][DEBUG][players] .. 5/190 - Sucessfully loaded file f24-24-2016-853265-eventdetails.xml
[2019-03-07 17:56:39][DEBUG][players] .. 6/190 - Sucessfully loaded file f24-24-2016-853283-eventdetails.xml
[2019-03-07 17:56:45][DEBUG][players] .. 7/190 - Sucessfully loaded file f24-24-2016-853244-eventdetails.xml
[2019-03-07 17:56:52][DEBUG][players] .. 8/190 - Sucessfully loaded file f24-24-2016-853198-eventdetails.xml
[2019-03-07 17:56:58][DEBUG][players] .. 9/190 - Sucessfully loaded file f24-24-2016-853140-eventdetails.xml
[2019-03-07 17:57:04][DEBUG][players] .. 10/190 - Sucessfully loaded file f24-24-2016-853221-eventdetails.xml
[2019-03-07 17:57:10][DEBUG][players] .. 11/190 - Sucessfully loaded file f24-24-2016-853326-eventdetails.xml
[2019-03-07 17:57:16][DEBUG][players] .. 12/190 - Sucessfully loaded file f24-24-2016-853318-eventdetails.xml
[2019-03-07 17:57:23][DEBUG][players] .. 13/190 - Sucessfully loaded file f24-24-2016-853154-eventdetails.xml
[2019-03-07 17:57:30][DEBUG][players] .. 14/190 - Sucessfully loaded file f24-24-2016-853288-eventdetails.xml
[2019-03-07 17:57:36][DEBUG][players] .. 15/190 - Sucessfully loaded file f24-24-2016-853250-eventdetails.xml
[2019-03-07 17:57:43][DEBUG][players] .. 16/190 - Sucessfully loaded file f24-24-2016-853235-eventdetails.xml
[2019-03-07 17:57:49][DEBUG][players] .. 17/190 - Sucessfully loaded file f24-24-2016-853214-eventdetails.xml
[2019-03-07 17:57:55][DEBUG][players] .. 18/190 - Sucessfully loaded file f24-24-2016-853313-eventdetails.xml
[2019-03-07 17:58:02][DEBUG][players] .. 19/190 - Sucessfully loaded file f24-24-2016-853297-eventdetails.xml
[2019-03-07 17:58:08][DEBUG][players] .. 20/190 - Sucessfully loaded file f24-24-2016-853271-eventdetails.xml
[2019-03-07 17:58:15][DEBUG][players] .. 21/190 - Sucessfully loaded file f24-24-2016-853175-eventdetails.xml
[2019-03-07 17:58:21][DEBUG][players] .. 22/190 - Sucessfully loaded file f24-24-2016-853193-eventdetails.xml
[2019-03-07 17:58:28][DEBUG][players] .. 23/190 - Sucessfully loaded file f24-24-2016-853317-eventdetails.xml
[2019-03-07 17:58:34][DEBUG][players] .. 24/190 - Sucessfully loaded file f24-24-2016-853210-eventdetails.xml
[2019-03-07 17:58:41][DEBUG][players] .. 25/190 - Sucessfully loaded file f24-24-2016-853171-eventdetails.xml
[2019-03-07 17:58:47][DEBUG][players] .. 26/190 - Sucessfully loaded file f24-24-2016-853197-eventdetails.xml
[2019-03-07 17:58:53][DEBUG][players] .. 27/190 - Sucessfully loaded file f24-24-2016-853293-eventdetails.xml
[2019-03-07 17:59:00][DEBUG][players] .. 28/190 - Sucessfully loaded file f24-24-2016-853275-eventdetails.xml
[2019-03-07 17:59:07][DEBUG][players] .. 29/190 - Sucessfully loaded file f24-24-2016-853254-eventdetails.xml
[2019-03-07 17:59:13][DEBUG][players] .. 30/190 - Sucessfully loaded file f24-24-2016-853150-eventdetails.xml
[2019-03-07 17:59:19][DEBUG][players] .. 31/190 - Sucessfully loaded file f24-24-2016-853188-eventdetails.xml
[2019-03-07 17:59:25][DEBUG][players] .. 32/190 - Sucessfully loaded file f24-24-2016-853231-eventdetails.xml
[2019-03-07 17:59:32][DEBUG][players] .. 33/190 - Sucessfully loaded file f24-24-2016-853308-eventdetails.xml
[2019-03-07 17:59:38][DEBUG][players] .. 34/190 - Sucessfully loaded file f24-24-2016-853144-eventdetails.xml
[2019-03-07 17:59:44][DEBUG][players] .. 35/190 - Sucessfully loaded file f24-24-2016-853240-eventdetails.xml
[2019-03-07 17:59:51][DEBUG][players] .. 36/190 - Sucessfully loaded file f24-24-2016-853298-eventdetails.xml
[2019-03-07 17:59:58][DEBUG][players] .. 37/190 - Sucessfully loaded file f24-24-2016-853322-eventdetails.xml
[2019-03-07 18:00:04][DEBUG][players] .. 38/190 - Sucessfully loaded file f24-24-2016-853225-eventdetails.xml
[2019-03-07 18:00:12][DEBUG][players] .. 39/190 - Sucessfully loaded file f24-24-2016-853204-eventdetails.xml
[2019-03-07 18:01:43][DEBUG][players] .. 40/190 - Sucessfully loaded file f24-24-2016-853303-eventdetails.xml
[2019-03-07 18:01:50][DEBUG][players] .. 41/190 - Sucessfully loaded file f24-24-2016-853261-eventdetails.xml
[2019-03-07 18:01:56][DEBUG][players] .. 42/190 - Sucessfully loaded file f24-24-2016-853287-eventdetails.xml
[2019-03-07 18:02:03][DEBUG][players] .. 43/190 - Sucessfully loaded file f24-24-2016-853183-eventdetails.xml
[2019-03-07 18:02:09][DEBUG][players] .. 44/190 - Sucessfully loaded file f24-24-2016-853165-eventdetails.xml
[2019-03-07 18:02:16][DEBUG][players] .. 45/190 - Sucessfully loaded file f24-24-2016-853220-eventdetails.xml
[2019-03-07 18:02:22][DEBUG][players] .. 46/190 - Sucessfully loaded file f24-24-2016-853327-eventdetails.xml
[2019-03-07 18:02:29][DEBUG][players] .. 47/190 - Sucessfully loaded file f24-24-2016-853319-eventdetails.xml
[2019-03-07 18:02:36][DEBUG][players] .. 48/190 - Sucessfully loaded file f24-24-2016-853245-eventdetails.xml
[2019-03-07 18:02:43][DEBUG][players] .. 49/190 - Sucessfully loaded file f24-24-2016-853141-eventdetails.xml
[2019-03-07 18:02:49][DEBUG][players] .. 50/190 - Sucessfully loaded file f24-24-2016-853199-eventdetails.xml
[2019-03-07 18:02:55][DEBUG][players] .. 51/190 - Sucessfully loaded file f24-24-2016-853160-eventdetails.xml
[2019-03-07 18:03:01][DEBUG][players] .. 52/190 - Sucessfully loaded file f24-24-2016-853186-eventdetails.xml
[2019-03-07 18:03:08][DEBUG][players] .. 53/190 - Sucessfully loaded file f24-24-2016-853282-eventdetails.xml
[2019-03-07 18:03:15][DEBUG][players] .. 54/190 - Sucessfully loaded file f24-24-2016-853264-eventdetails.xml
[2019-03-07 18:03:22][DEBUG][players] .. 55/190 - Sucessfully loaded file f24-24-2016-853306-eventdetails.xml
[2019-03-07 18:03:29][DEBUG][players] .. 56/190 - Sucessfully loaded file f24-24-2016-853201-eventdetails.xml
[2019-03-07 18:03:35][DEBUG][players] .. 57/190 - Sucessfully loaded file f24-24-2016-853270-eventdetails.xml
[2019-03-07 18:03:42][DEBUG][players] .. 58/190 - Sucessfully loaded file f24-24-2016-853296-eventdetails.xml
[2019-03-07 18:03:49][DEBUG][players] .. 59/190 - Sucessfully loaded file f24-24-2016-853192-eventdetails.xml
[2019-03-07 18:03:55][DEBUG][players] .. 60/190 - Sucessfully loaded file f24-24-2016-853174-eventdetails.xml
[2019-03-07 18:04:01][DEBUG][players] .. 61/190 - Sucessfully loaded file f24-24-2016-853215-eventdetails.xml
[2019-03-07 18:04:07][DEBUG][players] .. 62/190 - Sucessfully loaded file f24-24-2016-853312-eventdetails.xml
[2019-03-07 18:04:14][DEBUG][players] .. 63/190 - Sucessfully loaded file f24-24-2016-853234-eventdetails.xml
[2019-03-07 18:04:21][DEBUG][players] .. 64/190 - Sucessfully loaded file f24-24-2016-853155-eventdetails.xml
[2019-03-07 18:04:27][DEBUG][players] .. 65/190 - Sucessfully loaded file f24-24-2016-853251-eventdetails.xml
[2019-03-07 18:04:33][DEBUG][players] .. 66/190 - Sucessfully loaded file f24-24-2016-853289-eventdetails.xml
[2019-03-07 18:04:39][DEBUG][players] .. 67/190 - Sucessfully loaded file f24-24-2016-853230-eventdetails.xml
[2019-03-07 18:04:45][DEBUG][players] .. 68/190 - Sucessfully loaded file f24-24-2016-853309-eventdetails.xml
[2019-03-07 18:04:51][DEBUG][players] .. 69/190 - Sucessfully loaded file f24-24-2016-853255-eventdetails.xml
[2019-03-07 18:04:58][DEBUG][players] .. 70/190 - Sucessfully loaded file f24-24-2016-853189-eventdetails.xml
[2019-03-07 18:05:04][DEBUG][players] .. 71/190 - Sucessfully loaded file f24-24-2016-853151-eventdetails.xml
[2019-03-07 18:05:09][DEBUG][players] .. 72/190 - Sucessfully loaded file f24-24-2016-853196-eventdetails.xml
[2019-03-07 18:05:16][DEBUG][players] .. 73/190 - Sucessfully loaded file f24-24-2016-853170-eventdetails.xml
